molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50
CHEMBL1744000,Cl.c1ccc2c(c1)CCCC21CCN(CC2CCCCC2)CC1,2.291,2.291e-09,8.639974910810603
CHEMBL194640,CN(CCCCCCN1C(=O)[C@@H]2Cc3ccccc3CN2C1=O)Cc1ccccc1,9.4,9.4e-09,8.0268721464003
CHEMBL1201353,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,1658.0,1.658e-06,5.780415473785745
CHEMBL2391366,CCC(=O)N1CCN(CC(=O)NC(CC)CC)CC1,100000.0,0.0001,4.0
CHEMBL248702,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,516.0,5.16e-07,6.287350298372789
CHEMBL193805,O=C1[C@@H]2Cc3ccccc3CN2C(=S)N1CCN1CCCCC1,0.9,9e-10,9.045757490560677
CHEMBL38047,O=c1cc(-c2ccccc2)oc2ccc(OCCCCCN3CCC(O)CC3)cc12,210.0,2.1e-07,6.6777807052660805
CHEMBL716,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,2293.5,2.2935e-06,5.639501255531998
CHEMBL37508,O=c1cc(-c2ccccc2)oc2ccc(OCCCCN3CCC(O)CC3)cc12,337.0,3.37e-07,6.4723700991286615
CHEMBL1744013,Cl.Oc1ccc2c(c1)C1(CCC2)CCN(Cc2ccccc2)CC1,69.18,6.918000000000001e-08,7.160019442321658
CHEMBL553536,CC(=O)[C@H]1CCC2C3CC=C4CC(/N=C(\N)Nc5ccccc5C)CC[C@]4(C)C3CC[C@@]21C.Cl,250.0,2.5000000000000004e-07,6.6020599913279625
CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,139.0,1.3900000000000001e-07,6.856985199745905
CHEMBL606784,COc1cccc(CC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)c1,211.0,2.1100000000000002e-07,6.675717544702307
CHEMBL277302,COc1ccc2c(c1)C(CCCN1CCN(c3ccccn3)CC1)=CCC2,246.0,2.46e-07,6.609064892896621
CHEMBL36645,O=C(CCCN1C2CCC1c1c([nH]c3ccccc13)C2)c1ccc(F)cc1,129.0,1.29e-07,6.889410289700751
CHEMBL91628,CCc1cccc(NC(=N)N(C)c2cccc(CC)c2)c1,82.0,8.2e-08,7.086186147616283
CHEMBL1744007,Cl.Clc1ccc2c(c1)CCCC21CCN(Cc2ccccc2)CC1,6.761,6.761000000000001e-09,8.169989064063882
CHEMBL1743998,Cc1ccc2c(c1)CCCC21CCN(Cc2ccccc2)CC1.Cl,5.495,5.4950000000000006e-09,8.260032303240491
