molecule_chembl_id,canonical_smiles,standard_value
CHEMBL542481,CCc1cccc(NC(=N)Nc2cc(Br)cc(CC)c2Br)c1.Cl,18.2
CHEMBL552605,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(OC(F)(F)F)c2Br)c1.Cl,261.0
CHEMBL543200,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(Br)c2Cl)c1.Cl,494.0
CHEMBL543673,CCc1cccc(N(C)C(=N)Nc2cc(Cl)ccc2Cl)c1.Cl,28.5
CHEMBL541860,CCc1cccc(NC(=N)Nc2ccccc2C(C)C)c1.Cl,20.6
CHEMBL542736,CCc1cccc(NC(=N)Nc2cc(C(F)(F)F)cc(CC)c2Cl)c1.Cl,17.3
CHEMBL553747,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc(C(F)(F)F)c2Br)c1.Cl,224.0
CHEMBL541848,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc(OC(F)(F)F)c2Br)c1.Cl,113.0
CHEMBL543432,CCc1cccc(NC(=N)Nc2ccc(Cl)cc2)c1.Cl,20.0
CHEMBL542964,CCc1cccc(N(C)C(=N)Nc2ccccc2)c1.Cl,42.8
CHEMBL542486,CCc1cccc(N(C)C(=N)N(C)c2cc(Br)ccc2Br)c1.Cl,381.0
CHEMBL543431,CCc1cccc(NC(=N)Nc2ccc(Cl)c(Cl)c2)c1.Cl,31.8
CHEMBL545076,CCc1cccc(N(C)C(=N)N(C)c2cc(CC)ccc2Cl)c1.Cl,241.0
CHEMBL542487,CCc1cccc(NC(=N)Nc2cc(CC)cc(CC)c2Cl)c1.Cl,4.5
CHEMBL543427,CCc1cccc(NC(=N)Nc2cc(SC)cc(CC)c2Cl)c1.Cl,15.8
CHEMBL543664,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(C(F)(F)F)c2Br)c1.Cl,221.0
CHEMBL543196,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc(SC)c2Br)c1.Cl,113.0
CHEMBL554618,CCc1cccc(N(C)C(=N)Nc2ccccc2Cl)c1.Cl,71.8
CHEMBL544842,CCc1cccc(NC(=N)Nc2cccc(Br)c2)c1.Cl,10.3
CHEMBL545544,CCc1cccc(N(C)C(=N)Nc2cc(C)cc(CC)c2Cl)c1.Cl,45.3
CHEMBL543434,CCc1cccc(NC(=N)N(C)c2cccc(CC)c2)c1.Cl,82.0
CHEMBL545769,CCc1cccc(N(C)C(=N)Nc2cccc(SC)c2)c1.Cl,164.0
